atc_code,drug_id,drug_name,category,year,month,period,consumption_quantity,measurement_unit,geographic_scope,data_type
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,6,2022-06,14.2,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,7,2022-07,14.8,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,8,2022-08,15.1,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,9,2022-09,15.5,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,10,2022-10,16.0,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,11,2022-11,16.4,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
J01DH02,DRUG-505,Meropenem 1g,Antibiotic,2022,12,2022-12,17.0,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,1,2022-01,8.1,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,2,2022-02,8.3,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,3,2022-03,8.5,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,4,2022-04,8.7,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,5,2022-05,9.0,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,6,2022-06,9.2,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,7,2022-07,9.5,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,8,2022-08,9.8,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,9,2022-09,10.0,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,10,2022-10,10.3,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,11,2022-11,10.6,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
N01AX10,DRUG-004,Propofol 1% IV Emulsion,Anaesthetic,2022,12,2022-12,11.0,DDD per 1000 inhabitants per day,OECD_Reference,EXTERNAL_REFERENCE_DATA
